
####################################################################
# 			       TL-WR740N  System Log 
# Time = 2016-06-13 23:58:55 288950s
# H-Ver = WR740N v4 00000000 : S-Ver = 3.12.15 Build 130111 Rel.53455n 
# L = 192.168.0.1 : M = 255.255.255.0
# W1 = DHCP : W = 93.76.215.160 : M = 255.255.240.0 : G = 93.76.208.1
####################################################################

Jun 13 08:49:51	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 17:20:06	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 17:28:47	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 30:B5:C2:18:76:62
Jun 13 17:28:47	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Jun 13 17:38:24	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 17:38:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 17:43:47	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 17:43:48	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 17:43:48	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d788214 dns2:4d7882dc static route:0
Jun 13 17:43:48	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 17:48:25	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 17:48:25	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 17:53:20	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 17:55:43	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 17:56:44	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 18:08:25	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 18:08:25	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 18:11:22	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 18:20:06	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 18:20:06	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 18:23:57	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 18:28:45	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 30:B5:C2:18:76:62
Jun 13 18:28:45	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Jun 13 18:43:47	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 18:43:48	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 18:43:48	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d7882dc dns2:4d788214 static route:0
Jun 13 18:43:48	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 18:53:20	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 19:06:36	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 19:06:36	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 19:15:41	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 30:B5:C2:18:76:62
Jun 13 19:15:41	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Jun 13 19:20:07	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 19:20:07	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 19:38:23	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 19:39:26	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 19:43:47	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 19:43:48	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 19:43:48	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d7882dc dns2:4d788214 static route:0
Jun 13 19:43:48	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 19:58:24	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 19:58:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 20:08:24	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 20:08:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 20:15:41	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 30:B5:C2:18:76:62
Jun 13 20:15:41	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Jun 13 20:18:14	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 20:18:14	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 20:43:47	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 20:43:49	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 20:43:49	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d788214 dns2:4d7882dc static route:0
Jun 13 20:43:49	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 20:49:43	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 20:49:43	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 20:49:49	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 20:49:49	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 20:49:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 20:49:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 20:51:47	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 21:16:24	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 21:16:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 21:20:41	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 21:21:42	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 21:38:48	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 21:38:48	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 21:43:48	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 21:43:49	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 21:43:49	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d7882dc dns2:4d788214 static route:0
Jun 13 21:43:49	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 21:54:50	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 21:58:25	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 64:77:91:45:F9:D2
Jun 13 21:58:25	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Jun 13 22:43:48	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 22:43:49	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 22:43:49	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d7882dc dns2:4d788214 static route:0
Jun 13 22:43:49	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jun 13 23:01:22	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 68:94:23:79:49:F1
Jun 13 23:01:22	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Jun 13 23:03:22	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 23:04:25	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 23:32:28	 DHCP      	NOTICE 	DHCPS:Recv INFORM from 68:94:23:79:49:F1
Jun 13 23:43:48	 DHCP      	NOTICE 	DHCPC Send REQUEST to server 4d78b001 with request ip 5d4cd7a0
Jun 13 23:43:50	 DHCP      	NOTICE 	DHCPC Recv ACK from server 4d78b001 with ip 5d4cd7a0 lease time 7200
Jun 13 23:43:50	 DHCP      	NOTICE 	DHCPC:GET ip:5d4cd7a0 mask:fffff000 gateway:5d4cd001 dns1:4d788214 dns2:4d7882dc static route:0
Jun 13 23:43:50	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
